TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
TEXT	TEXT	TEXT	TEXT	TEXT	REAL	REAL	VARCHAR(2)	REAL	REAL	VARCHAR(1)
Interception	Interc_max	Maximum Interception Capacity	mm	ALL	-9999	4.5	RC	5.5	0.5	Y
Interception	Interc_min	Minimum Interception Capacity	mm	ALL	-9999	1.5	RC	1.5	0.5	Y
Interception	Pi_b	Interception Storage Capacity Exponent	none	ALL	0.1	0	AC	1.5	0.1	Y
Discharge	gw0	Initial groundwater storage	mm	GW_RSVR	100	-50	AC	1000	0	Y
Discharge	gwmax	Maximum groundwater storage	mm	GW_RSVR	300	350	AC	1000	0	Y
Groundwater	gwrq	groundwater recharge to channel or perennial base flow	m3/s	MUSK_CH	0	0.0015	AC	100	0	Y
Discharge	Base_ex	Baseflow exponent	none	GW_RSVR	0.5	0	AC	4	1	Y
Nutrient	nperco	Nitrogen percolation coefficient	none	NutrMV	0.511	1	RC	1	0	Y
Nutrient	cmn	Rate coefficient for mineralization of the humus active organic nutrients	none	NMINRL	0.0002562	0	AC	0.003	0.001	Y
Nutrient	cdn	rate coefficient for denitrification	none	NMINRL	2.507	0	AC	3	0	Y
Nutrient	phoskd	Phosphorus soil partitioning coefficient	m^3/Mg	NutrMV	175	0	AC	200	100	Y
Nutrient	pperco	Phosphorus percolation coefficient	none	NutrMV	35	0	AC	17.5	10	Y
PlantGrowth	n_updis	nitrogen uptake distribution parameter	None	BIO_EPIC	-8.02	1	RC	100	-10	Y
PlantGrowth	p_updis	phosphorus uptake distribution parameter	None	BIO_EPIC	100	1	RC	100	0	Y
Sediment	p_rf	 Peak rate adjustment factor 	none	ChannelRouting	1	0	AC	3	1	Y
Sediment	spcon	Coefficient in sediment transport equation	none	ChannelRouting	0.01	1	RC	0.01	0.0001	Y
Sediment	spexp	Exponent in sediment transport equation	none	ChannelRouting	1.5	0	AC	2	1	Y
WaterB	SOL_UL	amount of water held in the soil layer at saturation (sat - wp water)	mm H2O	ALL	-9999	5.5	RC	100	0.1	Y
Bacteria	bact_swf	fraction of manure containing active colony forming units (cfu)	None	MGT_SWAT	0.15	1	RC	1	0	Y
Climate	Co2	CO2 Concentration	ppmv	ALL	330	1	RC	350	300	Y
Climate	Cond_max	maximum stomatal conductance	m/s	PET_PM	0.005	0	NC	0	0	Y
Climate	Cond_rate	rate of decline in stomatal conductance	m/s/kPa	PET_PM	3.75	0	NC	5	0	Y
Climate	DEM	Elevation of each grid cell	m	ALL	-9999	0	NC	-9999	-9999	
Climate	esco	soil evaporation compensation factor	none	AET_PTH	0.95	1	RC	1	0.01	Y
Climate	HCoef_pet	Coefficient related to radiation used in Hargreaves method	none	PET_H	0.0023	1	RC	0.0032	0.0019	Y
Climate	K_pet	Correction factor for PET	none	ALL	1	0	AC	1.3	0.7	Y
Climate	Weight_P	Weight Coefficient of Precipitation	none	ALL	-9999	0	NC	-9999	-9999	Y
Climate	Weight_PET	Weight Coefficient of Potential Evapotranspiration	none	ALL	-9999	0	NC	-9999	-9999	Y
Climate	Weight_T	Weight Coefficient of Temperature	none	ALL	-9999	0	NC	-9999	-9999	Y
Discharge	a_bnk	bank flow recession constant	none	ALL	0.2	0	AC	1	0	Y
Discharge	b_bnk	bank storage loss coefficient	none	ALL	0.05	0	AC	0.2	0.02	Y
Discharge	bnk0	Initial bank storage	m3/m	ALL	0	0	AC	1	0	Y
Discharge	Ch_iuh	Channel flow IUH	none	ChannelRouting	-9999	0	NC	-9999	-9999	Y
Discharge	CH_ManningFactor	Manning scaling factor of channel routing	none	IKW_CH	1	0	AC	3	0.1	Y
Discharge	chs0	initial channel storage	m3/m	All	0	0	AC	100	0	Y
Discharge	chs0_perc	initial percentage of channel depth	none	ALL	0.05	-0.035	AC	1	0	Y
Discharge	CHWIDTH	Channel width	m	ALL	0.3	0	AC	1	0	N
Discharge	df_coef	Deep percolation coefficient	mm	GW_RSVR	0	0.3	AC	1	0	Y
Discharge	ep_ch	reach evaporation adjustment factor	m3/m	ALL	1	0	AC	1	0	Y
Discharge	FLOW_DIR	Flow direction	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	FLOWIN_INDEX	The index of flow in cell in the compressed array	none	ALL	-9999	0	AC	-9999	-9999	N
